label_source,cell_class,source_chem,n,rho_raw,p_raw,rho_clr,p_clr
joint_scanvi,Excitatory,PSYCHAD-V3,190,0.18326502327973845,0.011375836805429073,0.3074034187823056,1.601604164995507e-05
joint_scanvi,Excitatory,VELMESHEV-V2,35,-0.596722235858401,0.0001545877345900847,-0.7337162139498368,5.310089932515337e-07
joint_scanvi,Excitatory,VELMESHEV-V3,39,-0.6905465835711709,1.1448083261542485e-06,-0.7590439409437477,2.1392002072498706e-08
joint_scanvi,Inhibitory,PSYCHAD-V3,190,-0.28654357219966786,6.122530555107554e-05,-0.16419928497374717,0.023587490629777462
joint_scanvi,Inhibitory,VELMESHEV-V2,35,0.18027735153750285,0.30005152501133686,-0.5909791345273695,0.00018549380496572364
joint_scanvi,Inhibitory,VELMESHEV-V3,39,-0.2838832229578402,0.07987649322960838,-0.8376740434897828,2.940061486454338e-11
joint_scanvi,Astrocytes,PSYCHAD-V3,190,0.0533507879782448,0.46474377734709216,0.09058475587336129,0.21388917230793555
joint_scanvi,Astrocytes,VELMESHEV-V2,35,0.3636606195304797,0.03175777832763973,0.06625577877019335,0.7053154543688012
joint_scanvi,Astrocytes,VELMESHEV-V3,39,0.6401273328258182,1.1423376169399941e-05,0.19596729165468002,0.23183973586799847
joint_scanvi,Microglia,PSYCHAD-V3,190,-0.33448498581329694,2.396973620377745e-06,-0.24126755640347025,0.0007983235596407004
joint_scanvi,Microglia,VELMESHEV-V2,35,0.4852590947161776,0.0031295494253266707,0.06555540055909194,0.7082935405423676
joint_scanvi,Microglia,VELMESHEV-V3,39,0.5755105818623157,0.00012660627141505208,0.13294161667577056,0.41978232247258906
joint_scanvi,OPC,PSYCHAD-V3,190,-0.50286203535133,1.4307081111884953e-13,-0.4622814549901257,1.8898120947892496e-11
joint_scanvi,OPC,VELMESHEV-V2,35,0.678748821348829,7.402152939355513e-06,0.09959378161862047,0.569203630450722
joint_scanvi,OPC,VELMESHEV-V3,39,0.7234432879572738,1.9598299229138374e-07,-0.07822479273909669,0.6359662693688587
joint_scanvi,Oligos,PSYCHAD-V3,190,0.31138610211532763,1.2252030535993593e-05,0.3546634831001158,5.150769754687431e-07
joint_scanvi,Oligos,VELMESHEV-V2,35,0.7644577674520775,9.032798458636099e-08,0.559882341954467,0.00047010391637818935
joint_scanvi,Oligos,VELMESHEV-V3,39,0.8258053174862466,9.750483978000677e-11,0.6408961322212261,1.1063995339092023e-05
vel_original,Excitatory,VELMESHEV-V2,37,-0.6612922393834383,8.35851365714535e-06,-0.7922940186087339,5.143058570536079e-09
vel_original,Excitatory,VELMESHEV-V3,39,-0.7394877427589737,7.547194434740764e-08,-0.8724293594347442,4.641232882787933e-13
vel_original,Inhibitory,VELMESHEV-V2,37,0.11096621299083871,0.5132161552968413,-0.6188500339873697,4.448751761425377e-05
vel_original,Inhibitory,VELMESHEV-V3,39,-0.30317173558986693,0.06063712967575928,-0.9024222851481801,4.237951584441993e-15
vel_original,Astrocytes,VELMESHEV-V2,37,0.4665289628224405,0.0036075486382247677,0.059869591410655496,0.7248463693942879
vel_original,Astrocytes,VELMESHEV-V3,39,0.6757882612582379,2.350037233648726e-06,0.0808593064841958,0.6246013757854292
vel_original,Microglia,VELMESHEV-V2,37,0.47409120424013695,0.00303413156694395,-0.2226437478598238,0.1853362192956584
vel_original,Microglia,VELMESHEV-V3,39,0.657615161757432,5.398835673971385e-06,-0.5520319570499983,0.0002692081251017485
vel_original,OPC,VELMESHEV-V2,37,0.6306178154144297,2.8688740312696234e-05,-0.4673384739421861,0.003541970035349576
vel_original,OPC,VELMESHEV-V3,39,0.7526603114844691,3.269576594473366e-08,-0.642618698900714,1.0295994016439406e-05
vel_original,Oligos,VELMESHEV-V2,37,0.84812196804722,3.45002295014383e-11,0.7285121568682733,3.194602466599652e-07
vel_original,Oligos,VELMESHEV-V3,39,0.8409985749745121,2.0654696930813972e-11,0.5788837317596623,0.00011306286789430946
psychad_original,Excitatory,PSYCHAD-V3,200,0.15527277458690333,0.028130797620447155,-0.05330644766069979,0.4534504926358097
psychad_original,Inhibitory,PSYCHAD-V3,200,-0.23750281277605548,0.0007083460193483779,-0.20703211196841928,0.003266686845828224
psychad_original,Astrocytes,PSYCHAD-V3,200,0.19541174832710761,0.005554177901245207,0.16542208439156844,0.019236861870813655
psychad_original,Microglia,PSYCHAD-V3,200,-0.43941761823706826,7.539345486936027e-11,-0.4749364721584785,1.198926238940329e-12
psychad_original,OPC,PSYCHAD-V3,200,-0.4130886638739069,1.2091515949667685e-09,-0.32965734711854516,1.8721104448154499e-06
psychad_original,Oligos,PSYCHAD-V3,200,0.3398502849551228,8.504626267815883e-07,0.3536526005584726,2.791088860259653e-07
