label_source,age_bin,mean_vel,mean_psy,n_vel,n_psy,p
joint_scanvi,<1,0.5650005427665373,0.0,38,10,1.3489241397924742e-06
joint_scanvi,1-2,0.40117148440360406,0.10038200339558574,3,4,0.19908985214820463
joint_scanvi,2-5,0.3943426248996757,0.07378795950985616,8,4,0.02093996569050665
joint_scanvi,5-10,0.27607635997295743,0.11464714884222675,5,3,0.25
joint_scanvi,10-15,0.24187179348092447,0.2646410688109536,7,17,0.7990343655245395
joint_scanvi,15-20,0.20433363307701172,0.21303935978269295,6,23,0.935187420727192
joint_scanvi,20-25,0.3245598304827474,0.24166815494528598,3,19,0.3865119201576025
joint_scanvi,30-50,0.46245983030445553,0.2536729545816876,4,57,0.013364286530858898
