cell_type_aligned,Adaptive,Astro,EN_L2_3_IT,EN_L3_5_IT_1,EN_L3_5_IT_2,EN_L3_5_IT_3,EN_L5_6_NP,EN_L5_ET,EN_L6B,EN_L6_CT,EN_L6_IT_1,EN_L6_IT_2,Endo,IN_ADARB2,IN_LAMP5_LHX6,IN_LAMP5_RELN,IN_PVALB,IN_PVALB_CHC,IN_SST,IN_VIP,Micro,OPC,Oligo,PC,PVM,SMC,VLMC
Astro,0,245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EN_L2_3,0,2,189,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0
EN_L4,0,0,10,67,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EN_L5,0,0,13,0,3,328,156,21,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
EN_L6,0,0,13,0,0,0,0,0,705,531,49,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EN_Newborn,0,3,9,0,0,0,0,0,0,1,0,0,0,0,1,6,3,0,1,0,2,0,0,0,0,0,0
EN_SP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Endo,41,0,0,0,0,0,0,0,0,0,0,0,659,0,0,0,0,0,0,0,0,0,0,343,0,53,670
IN_CALB2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1445,0,0,0,0,0,0,0
IN_LAMP5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,651,1063,0,0,0,1,0,0,0,0,0,0,0
IN_PV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3127,97,16,0,0,0,0,0,0,0,0
IN_RELN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
IN_SNCG_ADARB2,0,0,0,0,0,0,0,0,0,0,0,0,0,1566,0,18,0,0,0,12,0,0,0,0,0,0,0
IN_SST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,4303,0,0,0,0,0,0,0,0
IN_VIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596,0,0,0,0,0,0,0
Microglia,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3844,0,0,0,195,0,0
OPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8868,0,0,0,0,0
Oligo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
