true_label,Astro,EN_L2_3,EN_L4,EN_L5,EN_L6,EN_Newborn,EN_SP,Endo,IN_CALB2,IN_LAMP5,IN_PV,IN_RELN,IN_SNCG_ADARB2,IN_SST,IN_VIP,Microglia,OPC,Oligo
Astro,99968,81,45,31,36,143,0,5,2,1,4,0,1,4,9,4,85,69
EN_L2_3,1,72643,654,93,101,100,0,0,1,0,0,0,0,1,0,2,0,1
EN_L4,2,1495,14236,1113,55,146,0,0,26,0,0,0,4,0,7,0,3,1
EN_L5,2,64,17462,27676,115,179,0,0,1,0,0,0,0,0,0,0,0,0
EN_L6,0,12,9,38,25881,55,0,0,0,0,0,0,0,0,0,0,0,3
EN_Newborn,2,1448,347,176,452,33024,0,0,33,3,47,3,12,172,52,0,3,2
EN_SP,0,0,1,0,29,1,334,0,0,0,0,0,0,0,0,0,0,0
Endo,0,0,0,0,0,0,0,21894,0,0,0,0,0,0,0,0,0,0
IN_CALB2,1,50,1,0,1,24,0,0,4860,12,2,29,150,1,403,0,0,0
IN_LAMP5,0,0,0,0,0,0,0,0,0,8418,0,0,1,1,0,0,0,0
IN_PV,6,145,18,13,30,164,0,0,7,11,29746,0,2,110,0,0,3,0
IN_RELN,0,0,0,0,0,2,0,0,0,40,0,985,484,0,0,0,0,0
IN_SNCG_ADARB2,0,2,0,1,1,102,0,0,23,2,0,1,12032,0,41,0,0,0
IN_SST,0,53,15,23,43,228,0,1,9,1,222,0,3,38846,0,1,0,3
IN_VIP,0,22,6,3,3,60,0,0,8087,0,0,0,69,0,20306,2,1,1
Microglia,1,50,41,17,32,36,0,539,22,13,29,3,13,46,18,45326,3,12
OPC,5,15,9,3,28,106,0,0,6,0,3,0,0,3,7,4,69581,2
Oligo,26,38,9,6,31,49,0,1,4,0,0,0,0,1,0,2,559,160119
