source_chemistry,age_bin,n_cells,P10,P25,P50,P75,P90,frac_below_0.5
PSYCHAD-V3,<1y,32257,0.9995926260948181,0.9999996423721313,1.0,1.0,1.0,0.00015500511516880057
PSYCHAD-V3,1-5y,31343,0.9999147415161133,0.9999998807907104,1.0,1.0,1.0,0.0
PSYCHAD-V3,5-18y,170002,0.9999307513236999,0.9999998807907104,1.0,1.0,1.0,0.00014117480970812107
PSYCHAD-V3,18-30y,255191,0.9998599290847778,0.9999997615814209,1.0,1.0,1.0,5.486086891779099e-05
PSYCHAD-V3,30-50y,28495,0.9989917635917663,0.9999988079071045,1.0,1.0,1.0,0.0001052816283558519
VELMESHEV-V3,prenatal,177186,0.9728493094444275,0.9998149275779724,0.999998927116394,1.0,1.0,0.0017213549603241791
VELMESHEV-V3,<1y,62711,0.972892701625824,0.9996650218963623,0.999998927116394,1.0,1.0,0.0020251630495447368
VELMESHEV-V3,1-5y,19325,0.9992589354515076,0.9999996423721313,1.0,1.0,1.0,0.0027943078913324707
VELMESHEV-V3,5-18y,32412,0.9999700784683228,0.9999998807907104,1.0,1.0,1.0,0.00021596939405158584
VELMESHEV-V3,18-30y,18427,0.9999996423721313,1.0,1.0,1.0,1.0,0.00010853638682368264
VELMESHEV-V3,30-50y,5842,0.9990072548389435,0.9999988079071045,1.0,1.0,1.0,0.0006846970215679561
WANG-multiome,prenatal,52104,0.9114049673080444,0.9978703856468201,0.9999933242797852,1.0,1.0,0.0025717795178873022
WANG-multiome,<1y,31914,0.9538189768791199,0.9997867047786713,0.9999991655349731,1.0,1.0,0.001692047377326565
WANG-multiome,5-18y,27734,0.9992247581481933,0.9999990463256836,1.0,1.0,1.0,0.0005047955577990914
