group,n_cells,total_counts_mean,total_counts_median,total_counts_P25,total_counts_P75,n_genes_mean,n_genes_median,frac_genes_detected
PSYCHAD,32257,12586.9697265625,8636.0,4872.0,16932.0,3308.3606659019747,3015.0,0.22055737772679831
WANG,31914,6507.5078125,5486.0,2250.0,9208.0,2424.56345177665,2475.0,0.16163756345177666
VEL,62711,5559.77197265625,4319.0,2585.0,6986.5,2201.33308351007,2017.0,0.14675553890067133
