group,n_cells,EN_frac_nonzero_1,EN_frac_nonzero_3,IN_frac_nonzero_1,IN_frac_nonzero_3,EN_over_IN_frac1,EN_over_IN_frac3,EN_SLC17A7_frac1,EN_NEUROD2_frac1,EN_SATB2_frac1,EN_RBFOX3_frac1,EN_TBR1_frac1,EN_SLC17A7_frac3,EN_NEUROD2_frac3,EN_SATB2_frac3,EN_RBFOX3_frac3,EN_TBR1_frac3,IN_GAD1_frac1,IN_GAD2_frac1,IN_LHX6_frac1,IN_SLC32A1_frac1,IN_GAD1_frac3,IN_GAD2_frac3,IN_LHX6_frac3,IN_SLC32A1_frac3
PSYCHAD_under1y,32257,0.11633443903648821,0.0223827386303748,0.4446166723501876,0.23053910779055709,0.26165109409844656,0.09708868377169505,0.1141767678333385,0.03701522150230958,0.1949344328362836,0.20237467836438602,0.03317109464612332,0.025606845025885856,0.0029140961651734506,0.060793006169203585,0.01565551663204886,0.006944229159562266,0.5891124407105435,0.43311529280466254,0.5900424714015563,0.16619648448398797,0.379297516818055,0.28592243544036955,0.23684781597792728,0.020088662925876553
PSYCHAD_1_5y,31343,0.146099607567878,0.048106435248699876,0.2767763136904572,0.11787320932903679,0.5278616695625626,0.40812017518156435,0.19653511150815173,0.05248380818683598,0.2769039338927352,0.1560476023354497,0.04852758191621734,0.06722394154994736,0.0017866828318922885,0.15882334173499665,0.008869604058322432,0.0038286060683406183,0.36544044922311203,0.2383307277542035,0.43381297259356155,0.06952110519095173,0.18581501451679802,0.1288644992502313,0.15250614172223462,0.004307181826883196
WANG_under1y,31914,0.2438177602306198,0.09032399573854735,0.20204299053706837,0.06330293914896283,1.2067617806276993,1.426853089698508,0.27555304881870024,0.15789308767312152,0.47906874725825654,0.18029704831735288,0.12627686908566774,0.054364855549288715,0.009400263207369806,0.3683963150968227,0.009462931628752272,0.009995613210503228,0.22836372751770384,0.16146518769192203,0.3482797518330513,0.0700632951055963,0.11794196904179984,0.08350567149213511,0.044588581813624115,0.007175534248292286
VEL_V3_under1y,62711,0.3080129482865845,0.12006187112308844,0.18698872606081868,0.039502639090430704,1.647227365671099,3.0393378986376347,0.2959767823826761,0.24233388081835722,0.6236864345968012,0.2504823715137695,0.12758527212131843,0.07260289263446604,0.02871904450574859,0.46559614740635613,0.02479628773261469,0.008594983336256797,0.22573392227838815,0.13994355057326466,0.3466696432842723,0.03560778810734959,0.0639919631324648,0.03768078965412767,0.05453588684600788,0.0018019167291224824
