group,label_source,n_nonneuronal,n_neuronal,EN_mean_cpm,IN_mean_cpm,IN_over_EN_nonneuronal,SLC17A7_mean_cpm,NEUROD2_mean_cpm,SATB2_mean_cpm,RBFOX3_mean_cpm,TBR1_mean_cpm,GAD1_mean_cpm,GAD2_mean_cpm,LHX6_mean_cpm,SLC32A1_mean_cpm
PSYCHAD_under1y,HBCC_class,15037,17220,0.10597992703320946,0.563907649570155,5.320891040739819,0.11239895756300125,0.019685887366931675,0.32108690755258423,0.07116223013660437,0.005565652546925734,0.6287463499291364,0.12086103526407753,1.4840617417976119,0.02196147128979442
PSYCHAD_1_5y,HBCC_class,18811,12532,0.12241642151445593,0.4568714838748115,3.732109422008803,0.14210487057921037,0.020047248203522498,0.3524759186093304,0.0901369088537483,0.007317161326468044,0.5619598882465393,0.1228319543958877,1.1225744344645605,0.020119658392258294
WANG_under1y,cell_type_aligned,9607,22307,0.08028166408707271,0.3580670101835452,4.460134325754071,0.06625707613101853,0.014902999368489997,0.24185179401089657,0.06619424399222007,0.012202206932738423,0.46416755255546716,0.03612951369646033,0.9227988997465385,0.00917207473571497
VEL_V3_under1y,cell_type_aligned,15572,47139,0.31647270127143695,0.4429282393875713,1.3995780242925158,0.28817459138248536,0.11506634070311035,0.9334500532466353,0.21899151950101767,0.026681001523936043,0.833272573638344,0.11803143525119468,0.7950445870985736,0.025364361562172897
