cell_class,layer,stratum,d,p,n_child,n_adol
Other,scanvi_normalized,Vel-all,1.6365276320122908,0.11428571428571428,4,3
Other,scanvi_normalized,PsychAD-V3,,,0,0
Other,scanvi_normalized,V3-pooled,,,1,1
Oligos,counts_cpm,Vel-V2,1.3648723095986157,0.07272727272727272,4,7
Oligos,counts_cpm,Vel-V3,0.7060478201863526,0.12554112554112554,5,6
Oligos,counts_cpm,Vel-all,1.0102286290617244,0.0194271256064567,9,13
Oligos,counts_cpm,PsychAD-V3,0.5697236347193282,0.8133552271483305,3,26
Oligos,counts_cpm,V3-pooled,1.0041141903821684,0.03573985121972738,8,32
Oligos,scvi_normalized,Vel-V2,1.4230571627877338,0.07272727272727272,4,7
Oligos,scvi_normalized,Vel-V3,1.0522528029161446,0.05194805194805195,5,6
Oligos,scvi_normalized,Vel-all,1.2358087620849112,0.007559810778662305,9,13
Oligos,scvi_normalized,PsychAD-V3,0.7514648725101011,0.659551176792556,3,26
Oligos,scvi_normalized,V3-pooled,1.2922502913180827,0.01496111712829979,8,32
Oligos,scanvi_normalized,Vel-V2,1.4634864802363277,0.07272727272727272,4,7
Oligos,scanvi_normalized,Vel-V3,1.15396128858242,0.05194805194805195,5,6
Oligos,scanvi_normalized,Vel-all,1.300123359777897,0.007559810778662305,9,13
Oligos,scanvi_normalized,PsychAD-V3,0.8712922387738056,0.5161466885604816,3,26
Oligos,scanvi_normalized,V3-pooled,1.4015784731884382,0.013467710062137307,8,32
Endothelial,counts_cpm,Vel-V2,,,0,0
Endothelial,counts_cpm,Vel-V3,,,0,0
Endothelial,counts_cpm,Vel-all,,,0,0
Endothelial,counts_cpm,PsychAD-V3,0.7504521632994726,0.2857142857142857,4,5
Endothelial,counts_cpm,V3-pooled,0.7504521632994726,0.2857142857142857,4,5
Endothelial,scvi_normalized,Vel-V2,,,0,0
Endothelial,scvi_normalized,Vel-V3,,,0,0
Endothelial,scvi_normalized,Vel-all,,,0,0
Endothelial,scvi_normalized,PsychAD-V3,0.33998012280211615,0.2857142857142857,4,5
Endothelial,scvi_normalized,V3-pooled,0.33998012280211615,0.2857142857142857,4,5
Endothelial,scanvi_normalized,Vel-V2,,,0,0
Endothelial,scanvi_normalized,Vel-V3,,,0,0
Endothelial,scanvi_normalized,Vel-all,,,0,0
Endothelial,scanvi_normalized,PsychAD-V3,0.35790693772823506,0.4126984126984127,4,5
Endothelial,scanvi_normalized,V3-pooled,0.35790693772823506,0.4126984126984127,4,5
