cohort,C1,C1+only,C2,C2+only,C3,C3+only
PsychAD-V3,0.32551152957457363,0.14246493058418827,-0.0057916735456067445,0.030906172580798478,-0.028364639375504687,-0.05336143735195026
Herring-V3,0.22390770758228803,0.0740542126468818,0.07242880760187706,0.0608426872742845,-0.07759118171362865,-0.018265011673915792
U01-V2,0.18084464602025174,0.013316272985896225,0.048024531930670446,0.04287638855321082,-0.13479840923084974,-0.09329132718286316
