,SLC17A7|EN,SATB2|EN,RBFOX3|EN,GAD1|IN,GAD2|IN,AQP4|Astro,GFAP|Astro,PLP1|Oligo,MOBP|Oligo,PDGFRA|OPC,CSF1R|Micro,DCX|Immature,subtype,age_years,cohort,n_cells,agebin,EN_marker_mean,contam_marker_mean,EN_minus_contam
Donor_1101__EN_L3_5_IT_1,4.43427453939918,6.356450522129475,5.257908021107745,1.3710996773564814,0.6830430876863502,1.0851173495073603,2.379447577385731,3.9119165637245112,3.1160746272333046,0.0,1.0851173495073603,3.1585971019937866,EN_L3_5_IT_1,75.0,PsychAD-V3,23,20+,5.3495443608788,1.7039770290501373,3.645567331828662
Donor_1101__EN_L3_5_IT_2,4.772476861744825,6.043788064865679,5.700266823281076,2.022513510713678,1.1148645467834415,1.6289091645721943,1.2409755287924242,4.073906704132043,2.9674560527555163,0.3434698579660186,1.3529488238069673,3.209641299452948,EN_L3_5_IT_2,75.0,PsychAD-V3,71,20+,5.505510583297194,1.8431305236902853,3.6623800596069085
Donor_1101__EN_L3_5_IT_3,4.650297399623779,5.835014347583071,5.953874341079334,1.618893796641273,0.854061174903923,1.5058173281631748,1.5058173281631748,3.7633846599562486,2.812431086579903,0.0,1.0608533212382767,3.2194831760893865,EN_L3_5_IT_3,75.0,PsychAD-V3,85,20+,5.479728696095395,1.6401573369557467,3.8395713591396485
Donor_1101__EN_L6_CT,4.495365983681882,5.488915407253714,6.065445768828131,1.6919479319983364,1.5138160922347452,1.2969243859634274,1.5138160922347452,3.752850214234723,2.881116927082977,0.634463250331539,1.0195759750463467,3.466058801145142,EN_L6_CT,75.0,PsychAD-V3,34,20+,5.349909053254575,1.788063858640855,3.56184519461372
Donor_1101__EN_L6_IT_1,4.619981192066499,6.2114390839330715,5.976259083953795,1.0299529717254408,1.3562202788477908,1.6018199772491,0.892304257498615,3.6589256930596403,2.7111976457858886,0.5425415017690306,1.0299529717254408,3.9609410757638486,EN_L6_IT_1,75.0,PsychAD-V3,51,20+,5.602559786651121,1.6028644122076183,3.999695374443503
Donor_1107__EN_L2_3_IT,4.376853109746003,6.15529540171401,6.053374042925124,1.4044392280736653,1.0138305158932,1.9032187474109947,1.5068017942258498,4.069257971137128,2.366382125476029,0.3639724463770156,0.6302441884110817,3.733618909959872,EN_L2_3_IT,72.0,PsychAD-V3,62,20+,5.528507518128379,1.6572683771256205,3.871239141002758
Donor_1113__EN_L2_3_IT,4.269112815657637,6.168508977445731,6.095044325404406,1.8657084699900137,1.6196549652906187,2.352503997913284,1.5091557123080157,3.67375883483649,2.106809428079523,0.631658742405403,1.0775931935293541,3.8864064425260807,EN_L2_3_IT,16.0,PsychAD-V3,148,10-20,5.510888706169258,1.8546054180440879,3.65628328812517
Donor_1113__EN_L3_5_IT_1,4.7463799738869445,6.368231645568864,5.55464243817354,1.8865245125653018,1.7005798652101891,1.4719769457968157,0.7510766990046024,3.7988978455132925,3.103075748495815,0.0,1.1751291669578496,3.4410773848394522,EN_L3_5_IT_1,16.0,PsychAD-V3,29,10-20,5.556418019209783,1.7359075979429834,3.8205104212667997
Donor_1113__EN_L3_5_IT_2,4.6150630927804555,6.076436931154736,5.795999928739085,1.871753101620639,1.5040322872640368,2.3025328946591603,1.6093915140487558,3.8176556023633017,2.944384033475295,0.9162559332869741,0.6931181818213884,3.5263042321789944,EN_L3_5_IT_2,16.0,PsychAD-V3,66,10-20,5.495833317558092,1.9573904435674438,3.538442873990648
Donor_1113__EN_L3_5_IT_3,4.542945993457184,5.940128400504654,6.393085218856717,2.0936942663617897,0.6671343093517311,2.5163844164086386,1.567486194716246,3.3164402885515276,2.1505010340307438,0.0,0.0,2.7232459233846096,EN_L3_5_IT_3,16.0,PsychAD-V3,49,10-20,5.625386537606185,1.5389550636775846,4.0864314739286005
