set,n,n_donors,age_slope,se,t,p
mature_EN_all,118,32,-3.120604954370414,1.2402595146934683,-2.51609031609943,0.017257588201443193
mature_EN_V3only,49,15,-1.0045624849669672,1.1756772213715914,-0.8544543236067847,0.4072374366077076
