dataset,individual,subtype,age,subsource,ncells,log10_total,AGG_pos_lin,AGG_pos_log,AGG_sign_lin,AGG_sign_log,CELL_pos_lin,CELL_pos_log,CELL_sign_lin,CELL_sign_log
Velmeshev,4341,L2-3,12.994520547945205,U01,258,6.295020314488535,106643.83894980882,2693.564171207332,79765.88865412593,1105.4197428209206,106047.8453970484,1382.450483081085,79221.41746244764,890.650498036409
Velmeshev,4341,L4,12.994520547945205,U01,339,6.50714585404675,104216.41884824795,2713.035542037919,76813.11681346761,1082.7841807877737,103953.0562866918,1365.571144061716,76819.58727657194,854.6275122600107
Velmeshev,4341,L5,12.994520547945205,U01,29,5.210144553124945,90579.62937538727,2363.7187140508113,54069.84516112523,819.1900520124814,90596.88757434231,1081.478978758019,54559.24402269187,571.6100307232995
Velmeshev,4341,L5-6-IT,12.994520547945205,U01,49,5.684772674047379,91941.73109663467,2513.499516548914,60504.750635932,941.0528147630374,91817.53197405202,1422.3084020362116,60421.29953290629,786.8661467808604
Velmeshev,4341,L6,12.994520547945205,U01,135,6.169698528212843,97186.3283606385,2562.2673700142545,62460.31122794646,893.484331374787,97104.97422772154,1365.8877737176654,62434.887370357035,722.0923393429987
Velmeshev,4369,L2-3,2.7205479452054795,U01,99,6.048521429853932,123836.66582910268,2674.9416863794368,98911.31852600968,1167.2809056719118,124736.35072531685,1582.1669919920882,99777.86449364501,1012.088430967676
Velmeshev,4369,L4,2.7205479452054795,U01,384,6.6805430003914195,117454.72756229174,2742.1242003308926,93087.72653883196,1181.6937464793587,119915.94333168786,1593.3719389420703,95767.15488389703,1027.5691754287484
Velmeshev,4369,L5,2.7205479452054795,U01,28,5.559269671494984,107602.71634977077,2530.393342508974,74761.18360723602,955.9741565504177,108030.35733766817,1527.680188295,74572.5045378554,804.0653289265597
Velmeshev,4369,L5-6-IT,2.7205479452054795,U01,39,5.762854046246768,107222.23394636068,2595.8135522601783,80400.61254119301,1081.8697735578007,107700.99980612996,1647.0363266264094,80809.39374351941,967.9036643772785
Velmeshev,4369,L6,2.7205479452054795,U01,53,5.771573518566875,106277.33208147928,2576.5115866756328,73918.57327294938,982.3863788516044,106727.09907950839,1358.020830349033,73912.24658009692,767.66603330214
Velmeshev,4426,L2-3,2.2054794520547945,U01,551,6.800475881675484,117274.00895758628,2630.1142193631376,90519.98741382231,1058.424473422038,117551.88170608411,1554.2213283502729,90673.14115637414,948.1044440730672
Velmeshev,4426,L4,2.2054794520547945,U01,256,6.35915525058589,114921.5715422951,2657.2088391754796,87757.47440271091,1074.3439051028781,115894.6446896856,1452.2306242785457,88934.33885590425,918.5202575306837
Velmeshev,4426,L5,2.2054794520547945,U01,25,5.374821638471995,104929.40840834542,2451.665513797668,69689.81699796066,880.9177939005926,105413.22291444494,1400.9010337450723,70335.81921562694,738.6347022158789
Velmeshev,4426,L5-6-IT,2.2054794520547945,U01,20,5.357128368101668,99343.46531410223,2431.5803122798466,68406.81479806936,945.3598931437112,99336.6411918817,1481.0084799713247,68190.00328524748,816.3893492071933
Velmeshev,4426,L6,2.2054794520547945,U01,62,5.80514457698947,101729.81704428299,2538.1236903628587,66589.14342588812,899.2964279709221,102031.5740480556,1380.4140386822405,66632.63579672154,747.0762405633874
Velmeshev,5242,L2-3,14.994520547945205,U01,132,6.309166246503636,106615.55348003651,2590.547190718128,76572.46698048919,999.581976600188,106735.04834243364,1667.4227081754138,76654.30177472366,926.9736795860747
Velmeshev,5242,L4,14.994520547945205,U01,210,6.4894503810358914,103812.30625206255,2585.7023340091387,72049.34313582715,955.7225962250293,106408.79436466083,1591.148685878703,75562.8447964089,884.1671382164376
Velmeshev,5242,L5,14.994520547945205,U01,113,6.072394393243973,98674.47427838453,2452.1929057015386,62385.73514546485,795.5905438146029,98593.02251742754,1370.669937143986,62506.11270704801,677.7780157061842
Velmeshev,5242,L5-6-IT,14.994520547945205,U01,109,6.182988956567112,96265.63262452427,2534.5294646125503,63988.64360789965,906.7602863378602,96543.28137665916,1546.448241039322,64261.9322464701,810.7137953183591
Velmeshev,5242,L6,14.994520547945205,U01,210,6.534490755678585,100525.17762366391,2489.6814152668812,63305.812149316895,832.5685537654774,101252.22947165923,1526.1906084101415,64029.18940827863,741.2082615940669
Velmeshev,5387,L2-3,11.994520547945205,U01,388,6.511311720652911,116306.98100201465,2704.1275326296445,89934.34103930004,1146.370339005695,116506.3968010064,1454.8337559597912,90081.34701933048,937.9120066536228
Velmeshev,5387,L4,11.994520547945205,U01,694,6.866805701305004,115125.18857749278,2743.936634284414,89790.42135451912,1187.1579928263288,116044.819012004,1541.1626747335886,90670.3151993135,1000.9810313916092
Velmeshev,5387,L5,11.994520547945205,U01,57,5.703314597202932,105119.76042508343,2530.4803151250835,71019.04726709938,930.9033920258573,104785.77540713518,1404.5045220030468,70381.26887075692,767.1660793129552
Velmeshev,5387,L5-6-IT,11.994520547945205,U01,49,5.762787311250769,103332.96033393574,2568.7362052722992,74162.02614175528,1050.3194594495098,102581.28294029844,1543.850886359539,73260.25845580887,896.2974923242946
Velmeshev,5387,L6,11.994520547945205,U01,160,6.257846981288777,105337.51685595264,2617.029719949831,72706.09680558777,994.6747773889579,104942.7483148241,1449.6686318422192,72322.64257545443,818.5826224946569
Velmeshev,5408,L2-3,5.994520547945205,U01,347,6.696147754940038,117085.43263847605,2634.811021125984,89924.50045718288,1054.4215408970706,117533.29236468465,1593.4469599895065,90288.74442312517,939.0811303263164
Velmeshev,5408,L4,5.994520547945205,U01,344,6.629813834908441,113413.01106457357,2673.038159446909,85469.76393196562,1050.2156954651675,114319.24458416205,1557.5679894258424,86698.94872308486,935.702474657048
Velmeshev,5408,L5,5.994520547945205,U01,37,5.711381158529043,101406.59147276041,2456.8710903870738,65016.05443709592,792.7810603287727,100942.12768705928,1552.2825171752215,64395.351113632125,734.4937056598545
Velmeshev,5408,L5-6-IT,5.994520547945205,U01,280,6.666349471560198,101847.2250955884,2509.382924394065,70676.40140912139,922.7000282296942,102429.17769021855,1535.5144917600246,71379.65495356925,816.1836499984371
Velmeshev,5408,L6,5.994520547945205,U01,162,6.310625136562828,103176.65885091212,2525.2061604012197,67520.16238105079,877.8864761775951,103253.96487298267,1343.4262222537466,67523.87477403646,698.4665825734073
Velmeshev,5538,L2-3,18.994520547945207,U01,85,5.972166722837365,104734.51411861743,2599.481915443048,76818.23211865418,998.7424416265216,104847.43853849341,1543.1211141241924,76898.98318782596,901.9828856018605
Velmeshev,5538,L4,18.994520547945207,U01,168,6.24225810036712,96834.88760309319,2660.06644487394,68433.8314113635,979.8240236980582,97329.71904040119,1540.2170248524499,69039.00010681819,894.4025597588494
Velmeshev,5538,L6,18.994520547945207,U01,39,5.616362067865839,93233.69774119825,2439.690570823126,58994.52499095535,795.1209348122748,93215.28896945692,1384.8256478097042,58954.589628364156,691.6855687236198
Velmeshev,5577,L2-3,20.994520547945207,U01,186,6.451049505022375,113642.17007980903,2674.345774523337,87024.84028148261,1091.5641820418602,113733.2642056442,1733.2126916571133,86927.05325251537,1031.0688031637883
Velmeshev,5577,L4,20.994520547945207,U01,351,6.674568788799924,112585.72137194128,2704.943994033303,85609.24804979672,1103.3863712380207,113225.6862756924,1656.735861887922,86236.63418180073,1009.0180914252736
Velmeshev,5577,L5,20.994520547945207,U01,42,5.6854282170733255,101572.03523380515,2498.037625491437,66243.85127987263,858.2460867380506,101476.72426389714,1470.8253082788133,66354.44205493275,744.3455261181894
Velmeshev,5577,L5-6-IT,20.994520547945207,U01,56,5.941932603313064,99076.38675765308,2510.9427829370143,68257.99622396372,944.9759933271182,99349.22232265747,1610.4453097668788,68470.7795115275,859.7715671374673
Velmeshev,5577,L6,20.994520547945207,U01,156,6.344117854381227,104024.20569434474,2555.8023790706684,69985.73370042203,919.9462000627143,104152.73605474421,1531.4337835147776,69972.91271771563,812.5651208937448
Velmeshev,5879,L2-3,14.994520547945205,U01,289,6.609399626625249,103420.89203149884,2683.3621073768104,74316.2733144094,957.2153560894847,103248.11831039208,1677.5795446159177,73993.73821283627,901.6669757021813
Velmeshev,5879,L4,14.994520547945205,U01,160,6.236401208265657,101811.3648722886,2669.6622115472,72454.10062477317,970.3849733024381,102382.84128142986,1557.6236768114977,73277.45297300785,884.6804671211946
Velmeshev,5893,L2-3,18.994520547945207,U01,260,6.440903102607275,105615.33866984888,2660.4506548189256,77909.078892448,1041.0770675322087,105407.57386865665,1548.613375615489,77535.95867387485,924.8079443917662
Velmeshev,5893,L4,18.994520547945207,U01,235,6.316788649239519,100566.67081082676,2636.2212851862355,71668.47684311018,992.4885445964753,100899.05948078085,1425.2560910844181,72272.90589067081,859.3888683964904
Velmeshev,5893,L5,18.994520547945207,U01,22,5.280981066857412,91770.95854594614,2342.384870575027,55682.176376673175,767.7952406036612,91523.14865736122,1336.1963888167134,55453.43142428964,656.9900561511784
Velmeshev,5893,L6,18.994520547945207,U01,105,6.001635076965589,91435.53731919038,2501.7073902753764,55318.872716142345,791.7522152802884,91265.93716274535,1338.0740129777118,55128.676217233435,668.6408237891304
