subtype,n,n_donors,rho_age_partial,rho_age_partial_V3
Interneurons,32,32,-0.20161290322580644,0.09123449303248202
L2-3,30,30,-0.22758620689655173,-0.16483516483516483
L4,31,31,-0.40524193548387105,-0.3318681318681319
L5,17,17,-0.29901960784313725,0.08571428571428573
L5-6-IT,15,15,-0.5071428571428571,-0.7714285714285715
L6,25,25,-0.4015384615384615,-0.406060606060606
