,pos_cpm,signed_cpm,signed_logcpm,rank_contrast,age_years,chemistry,dataset,total_counts,log10_total,n_genes_det,counts_per_cell
RL2106,107657.38861323909,75668.52021881455,949.0841133256814,0.15347836294888328,6.494520547945205,V3,Herring,44480300.0,7.648168,15996,10248.917050691245
RL2107,91502.46629943587,52472.158274774025,690.8572925993769,0.09878679007891733,0.0,V3,Herring,47108850.0,7.673103,15936,5302.661864025214
RL2108,97073.65705515693,60692.432143015605,707.4117209091332,0.10058627553778343,0.4849315068493151,V3,Herring,26516192.0,7.4235115,15422,4769.957186544342
RL2109,108054.42278855175,74326.14503265821,875.9059294293392,0.13627694910432975,3.9945205479452053,V3,Herring,31641772.0,7.500261,15824,12952.014735980352
RL2110,101002.57659391657,64212.21698520132,813.2971946607745,0.12408476700489757,9.994520547945205,V3,Herring,6138555.0,6.7880664,15013,21691.00706713781
RL2121,102140.57964356706,64556.44297757642,777.7013013125907,0.11381003379175458,0.0,V3,Herring,24869366.0,7.3956647,15391,4109.280568407138
RL2122,112477.45449300014,80169.95273169971,978.8438970236688,0.15388571818195773,0.8191780821917808,V3,Herring,32279190.0,7.508923,15625,6660.996698307883
RL2123,102969.64544666301,63276.759926902785,776.3280406245838,0.11198004213569746,19.994520547945207,V3,Herring,9588217.0,6.981738,14940,9184.115900383142
RL2124,120729.18961958603,89511.69771758809,995.3186078263806,0.1496024382344473,39.99452054794521,V3,Herring,29984904.0,7.476903,15428,7112.168880455408
RL2125,104871.8367782151,70630.09019111154,851.7658502861009,0.12735905256968705,1.1506849315068493,V3,Herring,25264166.0,7.4025054,15364,9950.439543127215
RL2126,103341.00723598353,68363.42021359192,863.5733786596232,0.13487362535440706,9.994520547945205,V3,Herring,14303679.0,7.155448,15405,14536.259146341463
RL2127,104181.87473294488,67905.8990480724,842.2125599849383,0.12693968299686642,11.994520547945205,V3,Herring,20820880.0,7.318499,15507,16190.419906687403
RL2128,102301.45127078852,65437.60399033433,806.9095504323466,0.12112657964060936,19.994520547945207,V3,Herring,19405288.0,7.28792,15592,14590.442105263159
RL2129,108056.76864118145,77683.58921141227,871.5707492299833,0.13064608443388537,2.9945205479452053,V3,Herring,3003789.0,6.4776697,13723,4635.476851851852
RL2130,102483.11965494529,63300.49590640819,713.5692345639999,0.09986725593320245,13.994520547945205,V3,Herring,8164093.0,6.911908,14928,18942.21113689095
RL2131,112981.64406486686,81425.47337818296,955.0083246432519,0.1510487814653073,16.994520547945207,V3,Herring,38854504.0,7.589442,15855,17268.668444444444
RL2132,111427.86364140156,79289.77113809201,942.3759300057909,0.14906666922843415,24.994520547945207,V3,Herring,32351732.0,7.5098977,15770,9785.762855414398
