cohort,n,donors,rho_age_SUM,rho_age_MEAN,score_corr
Herring-V3,59,17,-0.22378725891291648,0.06300409117475161,0.6150204558737581
PsychAD-V3,213,71,-0.16974302169923083,-0.12851522820577138,0.7585640806574591
U01-V2,59,15,-0.34839275277615434,0.049620105201636476,0.584804208065459
