cohort,layer,n,donors,slope,se,t,p,rho
PsychAD-V3,all,213,71,-0.48351109536965103,0.6167844933620582,-0.7839222622703413,0.43573035373520963,-0.16974302169923083
PsychAD-V3,upper,184,68,-0.7558572449644201,0.665375346014241,-1.1359862512072134,0.260009439415736,-0.0895147463928647
PsychAD-V3,deep,29,18,1.7186723093763268,1.2243937676636047,1.4036924678699625,0.1784140265908256,0.015763546798029552
Herring-V3,all,59,17,-1.9542602802744184,1.3995326638876013,-1.396366323345325,0.18167637634902117,-0.22378725891291648
Herring-V3,upper,31,16,-1.101626523891376,1.422309468795973,-0.7745336356538043,0.4506523177689623,-0.21814516129032258
Herring-V3,deep,28,13,-2.8658641212094143,1.2755103598331052,-2.2468371966687903,0.044248698430797595,-0.2769567597153804
U01-V2,all,59,15,-4.157003948963469,2.19605390544209,-1.892942581537687,0.0792238707839535,-0.3487434248977207
U01-V2,upper,30,15,-4.019404444838281,2.1459102884691394,-1.8730533454432823,0.08209140000433103,-0.42469410456062295
U01-V2,deep,29,13,-4.352525049899785,2.6809915066606287,-1.6234758816230543,0.1304475367798842,-0.45911330049261073
